,Project Developer,Project Type,Project Name,Credit Status,Estimated Annual Emission Reductions,Country
4227,Renewable Energy Developers SA,"Small, Low - Impact Hydro",Betulia Hydroelectric project,Issued,7168,Honduras
4228,Renewable Energy Developers SA,"Small, Low - Impact Hydro",Betulia Hydroelectric project,Issued,11036,Honduras
4229,Envirofit International Ltd.,Energy Efficiency - Domestic,Improved Cookstoves Project Activity in Honduras “Vida Mejor con Ecofogones de Alto Rendimiento” – CPA No 009,Issued,20429,Honduras
4230,Envirofit International Ltd.,Energy Efficiency - Domestic,Improved Cookstoves Project Activity in Honduras “Vida Mejor con Ecofogones de Alto Rendimiento” – CPA No 005,Issued,12508,Honduras
4231,Envirofit International Ltd.,Energy Efficiency - Domestic,Improved Cookstoves Project Activity in Honduras “Vida Mejor con Ecofogones de Alto Rendimiento” – CPA No 004,Issued,13290,Honduras
4232,Envirofit International Ltd.,Energy Efficiency - Domestic,Improved Cookstoves Project Activity in Honduras “Vida Mejor con Ecofogones de Alto Rendimiento” – CPA No 004,Issued,31596,Honduras
4233,Envirofit International Ltd.,Energy Efficiency - Domestic,Improved Cookstoves Project Activity in Honduras “Vida Mejor con Ecofogones de Alto Rendimiento” – CPA No 003,Issued,13402,Honduras
4234,Envirofit International Ltd.,Energy Efficiency - Domestic,Improved Cookstoves Project Activity in Honduras Vida Mejor con Ecofogones de Alto Rendimiento CPA No 002,Issued,13290,Honduras
4235,Envirofit International Ltd.,Energy Efficiency - Domestic,Improved Cookstoves Project Activity in Honduras Vida Mejor con Ecofogones de Alto Rendimiento CPA No 001,Issued,12843,Honduras
4236,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.19 “SZ Consultancy Services Ltd.”,Issued,1338,Bangladesh
4237,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.19 “SZ Consultancy Services Ltd.”,Issued,40758,Bangladesh
4238,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.19 “SZ Consultancy Services Ltd.”,Issued,21120,Bangladesh
4239,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.18 “SZ Consultancy Services Ltd.”,Issued,1468,Bangladesh
4240,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.18 “SZ Consultancy Services Ltd.”,Issued,44707,Bangladesh
4241,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.18 “SZ Consultancy Services Ltd.”,Issued,23168,Bangladesh
4242,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.17 “SZ Consultancy Services Ltd.”,Issued,1464,Bangladesh
4243,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.17 “SZ Consultancy Services Ltd.”,Issued,44601,Bangladesh
4244,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.17 “SZ Consultancy Services Ltd.”,Issued,23118,Bangladesh
4245,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.16 “SZ Consultancy Services Ltd.”,Issued,1474,Bangladesh
4246,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.16 “SZ Consultancy Services Ltd.”,Issued,44891,Bangladesh
4247,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.16 “SZ Consultancy Services Ltd.”,Issued,23254,Bangladesh
4248,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.15 “SZ Consultancy Services Ltd.”,Issued,1452,Bangladesh
4249,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.15 “SZ Consultancy Services Ltd.”,Issued,44226,Bangladesh
4250,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.15 “SZ Consultancy Services Ltd.”,Issued,22917,Bangladesh
4251,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.14 “SZ Consultancy Services Ltd.”,Issued,1459,Bangladesh
4252,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.14 “SZ Consultancy Services Ltd.”,Issued,44442,Bangladesh
4253,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.14 “SZ Consultancy Services Ltd.”,Issued,23016,Bangladesh
4254,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.13 “SZ Consultancy Services Ltd.”,Issued,1456,Bangladesh
4255,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.13 “SZ Consultancy Services Ltd.”,Issued,44330,Bangladesh
4256,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.13 “SZ Consultancy Services Ltd.”,Issued,22946,Bangladesh
4257,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.12 “SZ Consultancy Services Ltd.”,Issued,1474,Bangladesh
4258,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.12 “SZ Consultancy Services Ltd.”,Issued,44874,Bangladesh
4259,Bangladesh Bondhu Foundation,Energy Efficiency - Domestic,Improved Cooking Stoves in Bangladesh – CPA No.12 “SZ Consultancy Services Ltd.”,Issued,23208,Bangladesh
4260,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Biogas - Electricity,Shuangbaotai Animal Manure Management System GHG Mitigation Project in Jiangxi Province,Issued,115231,China
4261,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Biogas - Electricity,Shuangbaotai Animal Manure Management System GHG Mitigation Project in Jiangxi Province,Issued,464834,China
4262,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Biogas - Electricity,Shuangbaotai Animal Manure Management System GHG Mitigation Project in Jiangxi Province,Issued,28182,China
4263,ECOA Climate Capital,Energy Efficiency - Domestic,GS10789 VPA1: Efficient and Clean Cooking for households in Somalia,Issued,155458,Somalia
4264,ECOA Climate Capital,Energy Efficiency - Domestic,GS10789 VPA1: Efficient and Clean Cooking for households in Somalia,Issued,597651,Somalia
4265,NATIVE A PUBLIC BENEFIT CORPORATION,Energy Efficiency - Domestic,Native Hydraid Water Filtration in Kenya,Issued,832,Kenya
4266,NATIVE A PUBLIC BENEFIT CORPORATION,Energy Efficiency - Domestic,Native Hydraid Water Filtration in Kenya,Issued,5788,Kenya
4267, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 24: Water is Life Madagascar,Issued,6749,Madagascar
4268, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 24: Water is Life Madagascar,Issued,3162,Madagascar
4269, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 23: Water is Life Madagascar,Issued,7425,Madagascar
4270, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 23: Water is Life Madagascar,Issued,2575,Madagascar
4271, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 18: Water is Life Madagascar  ,Issued,6712,Madagascar
4272, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 18: Water is Life Madagascar  ,Issued,2300,Madagascar
4273, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 17: Water is Life Madagascar  ,Issued,5698,Madagascar
4274, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 17: Water is Life Madagascar  ,Issued,1953,Madagascar
4275, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 16: Water is Life Madagascar  ,Issued,6717,Madagascar
4276, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 16: Water is Life Madagascar  ,Issued,2302,Madagascar
4277, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 14: Water is Life Madagascar ,Issued,6713,Madagascar
4278, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 14: Water is Life Madagascar ,Issued,2301,Madagascar
4279, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 9: Water is Life - Phase II Madagascar,Issued,1227,Madagascar
4280, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 9: Water is Life - Phase II Madagascar,Issued,421,Madagascar
4281, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 7: Water is Life Madagascar,Issued,1676,Madagascar
4282, Madaprojects Srl SB,Energy Efficiency - Domestic,GS5658 VPA 7: Water is Life Madagascar,Issued,575,Madagascar
4283,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Biogas - Electricity,Gaziantep Landfill Gas to Energy Project Turkey,Issued,68392,Turkey
4284,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Biogas - Electricity,Gaziantep Landfill Gas to Energy Project Turkey,Issued,82116,Turkey
4285,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Biogas - Electricity,Gaziantep Landfill Gas to Energy Project Turkey,Issued,82116,Turkey
4286,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Biogas - Electricity,Gaziantep Landfill Gas to Energy Project Turkey,Issued,13723,Turkey
4287,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Biogas - Electricity,Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project,Issued,111158,China
4288,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Biogas - Electricity,Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project,Issued,454701,China
4289,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Biogas - Electricity,Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project,Issued,33136,China
4290,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Biogas - Electricity,Bolu Landfill Gas to Energy Project Turkey,Issued,16262,Turkey
4291,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Biogas - Electricity,Bolu Landfill Gas to Energy Project Turkey,Issued,19397,Turkey
4292,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Biogas - Electricity,Bolu Landfill Gas to Energy Project Turkey,Issued,19396,Turkey
4293,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Biogas - Electricity,Bolu Landfill Gas to Energy Project Turkey,Issued,3135,Turkey
4294,Meltem Enerji Elektrik Üretim A.Ş.,Wind,Ege Wind Farm Project,Issued,16558,Turkey
4295,Meltem Enerji Elektrik Üretim A.Ş.,Wind,Ege Wind Farm Project,Issued,15493,Turkey
4296,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Wind,Demircili WPP,Issued,45571,Turkey
4297,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Wind,Demircili WPP,Issued,71621,Turkey
4298,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Wind,Demircili WPP,Issued,32108,Turkey
4299,AC Energy Inc.,Solar Thermal - Electricity,BIM Solar Farm,Issued,234846,Viet Nam
4300,AC Energy Inc.,Solar Thermal - Electricity,BIM Solar Farm,Issued,442269,Viet Nam
4301,AC Energy Inc.,Solar Thermal - Electricity,BIM Solar Farm,Issued,263470,Viet Nam
4302,Juniper Green Energy Pvt. Ltd.,Solar Thermal - Electricity,100 MW Solar Power plant in Maharashtra,Issued,90619,India
4303,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 012 ,Issued,18752,Uganda
4304,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 011,Issued,18752,Uganda
4305,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 010,Issued,18752,Uganda
4306,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 009,Issued,18752,Uganda
4307,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 008,Issued,18752,Uganda
4308,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 007,Issued,18752,Uganda
4309,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Wind,Yunxiao Zengjiang Wind Farm,Issued,3695,China
4310,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Wind,Yunxiao Zengjiang Wind Farm,Issued,38987,China
4311,Value Network Venture Advisory Services Pte. Ltd.,Solar Thermal - Electricity,Solar Water Pumps for salt farmers of Kutch,Issued,3378,India
4312,Value Network Venture Advisory Services Pte. Ltd.,Solar Thermal - Electricity,Solar Water Pumps for salt farmers of Kutch,Issued,1139,India
4313,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA32 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XII,Issued,1274,Rwanda
4314,Swiss Carbon Value Ltd.,Geothermal,Dora II 9.5 MWe Geothermal Energy Project (300274),Issued,6472,Turkey
4315,Swiss Carbon Value Ltd.,Geothermal,Dora II 9.5 MWe Geothermal Energy Project (300274),Issued,34169,Turkey
4316,Swiss Carbon Value Ltd.,Geothermal,Dora II 9.5 MWe Geothermal Energy Project (300274),Issued,29620,Turkey
4317,South Pole Carbon Asset Management Ltd.,Energy Efficiency - Domestic,Improved Cookstove Project In Uganda,Issued,70830,Uganda
4318,South Pole Carbon Asset Management Ltd.,Energy Efficiency - Domestic,Improved Cookstove Project In Uganda,Issued,32682,Uganda
4319,AC Energy Inc.,Solar Thermal - Electricity,AMI Khanh Hoa Solar Project,Issued,25720,Viet Nam
4320,AC Energy Inc.,Solar Thermal - Electricity,AMI Khanh Hoa Solar Project,Issued,62850,Viet Nam
4321,AC Energy Inc.,Solar Thermal - Electricity,AMI Khanh Hoa Solar Project,Issued,35244,Viet Nam
4322,Livelihoods Fund SICAV SIF,Energy Efficiency - Domestic,Hifadhi-Livelihoods Improved Cookstove Project in Tharaka Nithi County Kenya,Issued,69771,Kenya
4323,Livelihoods Fund SICAV SIF,Energy Efficiency - Domestic,Hifadhi-Livelihoods Improved Cookstove Project in Tharaka Nithi County Kenya,Issued,28432,Kenya
4324,Wind World (India) Limited,Wind,Vaayu India Wind Power Project in Andhra Pradesh,Issued,35651,India
4325,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 023,Issued,6659,Uganda
4326,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 022,Issued,6815,Uganda
4327,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 021,Issued,6815,Uganda
4328,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 020,Issued,14605,Uganda
4329,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 019,Issued,14605,Uganda
4330,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 018,Issued,14605,Uganda
4331,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 017,Issued,14605,Uganda
4332,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 016,Issued,15449,Uganda
4333,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 015,Issued,15892,Uganda
4334,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 014   ,Issued,16097,Uganda
4335,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 013,Issued,16819,Uganda
4336,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 006,Issued,18752,Uganda
4337,UpEnergy Group,Energy Efficiency - Domestic,Up Energy Improved Cookstoves Programme Uganda – CPA No 005,Issued,18752,Uganda
4338,South Pole Carbon Asset Management Ltd.,Geothermal,Project Karaha Unit 1 PT. Pertamina Geothermal Energy,Issued,9835,Indonesia
4339,South Pole Carbon Asset Management Ltd.,Geothermal,Project Karaha Unit 1 PT. Pertamina Geothermal Energy,Issued,84098,Indonesia
4340,South Pole Carbon Asset Management Ltd.,Geothermal,Project Karaha Unit 1 PT. Pertamina Geothermal Energy,Issued,98876,Indonesia
4341,Vijay Anand,Solar Thermal - Electricity,300 MW Solar PV Plant at Bhadla Rajasthan,Issued,405329,India
4342,Vijay Anand,Solar Thermal - Electricity,300 MW Solar PV Plant at Bhadla Rajasthan,Issued,659326,India
4343,Vijay Anand,Solar Thermal - Electricity,300 MW Solar PV Plant at Bhadla Rajasthan,Issued,14045,India
4344,Relief International,Energy Efficiency - Domestic,Gyapa Cook Stoves Project in Ghana,Issued,126020,Ghana
4345,Orange Renewable Power Pvt Ltd,Wind,Wind farm at Lalpur Gujarat ,Issued,47012,India
4346,Orange Renewable Power Pvt Ltd,Wind,Wind farm at Lalpur Gujarat ,Issued,74542,India
4347,Orange Renewable Power Pvt Ltd,Wind,Wind farm at Lalpur Gujarat ,Issued,95799,India
4348,Orange Renewable Power Pvt Ltd,Wind,Wind farm at Lalpur Gujarat ,Issued,11184,India
4349,ASSOCIATION FOR RURAL MOBILISATION AND IMPROVEMENT (ARMI),Energy Efficiency - Domestic,Improved Cookstove Program in Lao PDR,Issued,6533,Lao People's Democratic Republic
4350,ASSOCIATION FOR RURAL MOBILISATION AND IMPROVEMENT (ARMI),Energy Efficiency - Domestic,Improved Cookstove Program in Lao PDR,Issued,63751,Lao People's Democratic Republic
4351,ASSOCIATION FOR RURAL MOBILISATION AND IMPROVEMENT (ARMI),Energy Efficiency - Domestic,Improved Cookstove Program in Lao PDR,Issued,16810,Lao People's Democratic Republic
4352,Fortum India Private Limited,Solar Thermal - Electricity,70 MW Bhadla Solar power plant by Fortum Finnsurya Energy Pvt Ltd (EKIESL-CDM-APRIL 16-01),Issued,56584,India
4353,Fortum India Private Limited,Solar Thermal - Electricity,70 MW Bhadla Solar power plant by Fortum Finnsurya Energy Pvt Ltd (EKIESL-CDM-APRIL 16-01),Issued,86220,India
4354,Fortum India Private Limited,Solar Thermal - Electricity,70 MW Bhadla Solar power plant by Fortum Finnsurya Energy Pvt Ltd (EKIESL-CDM-APRIL 16-01),Issued,1980,India
4355,EKI Energy Services Limited,Wind,Wind Power Project by Markdata Green Energy (EKIESL-CDM.January-15-01),Issued,13478,India
4356,EKI Energy Services Limited,Wind,Wind Power Project by Markdata Green Energy (EKIESL-CDM.January-15-01),Issued,45550,India
4357,EKI Energy Services Limited,Wind,Wind Power Project by Markdata Green Energy (EKIESL-CDM.January-15-01),Issued,48538,India
4358,EKI Energy Services Limited,Wind,Wind Power Project by Markdata Green Energy (EKIESL-CDM.January-15-01),Issued,46566,India
4359,Orange Renewable Power Pvt Ltd,Wind,Wind energy project by KWEPL - 1 ,Issued,44397,India
4360,Orange Renewable Power Pvt Ltd,Wind,Wind energy project by KWEPL - 1 ,Issued,59322,India
4361,Orange Renewable Power Pvt Ltd,Wind,Wind energy project by KWEPL - 1 ,Issued,59792,India
4362,Cagla Balci Eris,Solar Thermal - Electricity,Corum Solar Power Plant Project,Issued,532,Turkey
4363,Cagla Balci Eris,Solar Thermal - Electricity,Corum Solar Power Plant Project,Issued,7491,Turkey
4364,Cagla Balci Eris,Solar Thermal - Electricity,Corum Solar Power Plant Project,Issued,8035,Turkey
4365,Cagla Balci Eris,Solar Thermal - Electricity,Corum Solar Power Plant Project,Issued,3045,Turkey
4366,Toyola Energy Services Limited,Energy Efficiency - Domestic,Promoting Improved Cooking practices in Nigeria,Issued,555874,Nigeria
4367,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Gujarat by Kaze Energy Limited ,Issued,67113,India
4368,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Gujarat by Kaze Energy Limited ,Issued,81035,India
4369,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Gujarat by Kaze Energy Limited ,Issued,21794,India
4370,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Madhya Pradesh (2) India ,Issued,48143,India
4371,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Madhya Pradesh (2) India ,Issued,61762,India
4372,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Madhya Pradesh (2) India ,Issued,69558,India
4373,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Madhya Pradesh (2) India ,Issued,1340,India
4374,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Ratlam MP ,Issued,83475,India
4375,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Ratlam MP ,Issued,118236,India
4376,Orange Renewable Power Pvt Ltd,Wind,Wind power project in Ratlam MP ,Issued,25404,India
4377,Proyecto Mirador,Energy Efficiency - Domestic,Proyecto Mirador Enhanced Distribution of Improved Cookstoves in Latin America – Second VPA for Distribution of Dos por Tres Cookstoves in Guatemala,Issued,11353,Guatemala
4378,Proyecto Mirador,Energy Efficiency - Domestic,Proyecto Mirador Enhanced Distribution of Improved Cookstoves in Latin America – Second VPA for Distribution of Dos por Tres Cookstoves in Guatemala,Issued,2926,Guatemala
4379,Proyecto Mirador,Energy Efficiency - Domestic,Proyecto Mirador Enhanced Distribution of Improved Cookstoves in Latin America – Second VPA for Distribution of Dos por Tres Cookstoves in Guatemala,Issued,130,Guatemala
4380,Man and Man Enterprise,Energy Efficiency - Domestic,GS1385 Man and Man Enterprise Improved Cooking Stoves Programme in Ghana - VPA001,Issued,267168,Ghana
4381,Man and Man Enterprise,Energy Efficiency - Domestic,GS1385 Man and Man Enterprise Improved Cooking Stoves Programme in Ghana - VPA001,Issued,132669,Ghana
4382,myclimate Foundation,Biogas - Heat,Kolar Biogas Project,Issued,51248,India
4383,Carbon Neutral,A/R,Australian Yarra Yarra Biodiversity Project,Issued,10000,Australia
4384,Vietnam Carbon Assets Ltd.,"Small, Low - Impact Hydro",Za Hung Hydropower Project,Issued,51435,Viet Nam
4385,Vietnam Carbon Assets Ltd.,"Small, Low - Impact Hydro",Za Hung Hydropower Project,Issued,31881,Viet Nam
4386,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,"Small, Low - Impact Hydro",CEMEL HYDRO BUNDLE,Issued,14057,Turkey
4387,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,"Small, Low - Impact Hydro",CEMEL HYDRO BUNDLE,Issued,37355,Turkey
4388,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,"Small, Low - Impact Hydro",CEMEL HYDRO BUNDLE,Issued,15545,Turkey
4389,BSP-N,Biogas - Heat,WWF Biogas Nepal II,Issued,37869,Nepal
4390,BSP-N,Biogas - Heat,WWF Biogas Nepal II,Issued,38497,Nepal
4391,myclimate Foundation,Other,Organic waste composting in Kathmandu Valley,Issued,1787,Nepal
4392,myclimate Foundation,Other,Organic waste composting in Kathmandu Valley,Issued,2790,Nepal
4393,myclimate Foundation,Other,Organic waste composting in Kathmandu Valley,Issued,1298,Nepal
4394,myclimate Foundation,Other,Organic waste composting in Kathmandu Valley,Issued,2268,Nepal
4395,Impact Carbon,Energy Efficiency - Domestic,Impact Carbon and myclimate Safe Water and Improved Cookstoves Global PoA - Uganda VPA,Issued,214431,Uganda
4396,Impact Carbon,Energy Efficiency - Domestic,Impact Carbon and myclimate Safe Water and Improved Cookstoves Global PoA - Uganda VPA,Issued,156716,Uganda
4397,Infinite Environmental Solutions Limited,Solar Thermal - Electricity,20 MW Solar Project in Sanwreej Jodhpur Rajasthan,Issued,15334,India
4398,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-10 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,9999,Burkina Faso
4399,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-09 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,9990,Burkina Faso
4400,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-08 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,9994,Burkina Faso
4401,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-07 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,10000,Burkina Faso
4402,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-06 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,10000,Burkina Faso
4403,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-05 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,9994,Burkina Faso
4404,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-04 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,9995,Burkina Faso
4405,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-03 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,10000,Burkina Faso
4406,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-02 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,9563,Burkina Faso
4407,Tiipaalga,Energy Efficiency - Domestic,GS1340 Efficient cookstoves in Burkina Faso - VPA-01 - tiipaalga F3PA cookstoves in Bam and Loroum,Issued,9991,Burkina Faso
4408,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA32 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XII,Issued,639,Rwanda
4409,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA32 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XII,Issued,177,Rwanda
4410,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA31 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XI,Issued,1919,Rwanda
4411,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA31 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XI,Issued,177,Rwanda
4412,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA30 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project X,Issued,1936,Rwanda
4413,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA30 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project X,Issued,177,Rwanda
4414,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA29 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project IX,Issued,1943,Rwanda
4415,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA29 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project IX,Issued,177,Rwanda
4416,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA28 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project VIII,Issued,1957,Rwanda
